Local Incident ID,Fire Discovery Date,Fire Discovery Time,Fire Containment Date,Fire Containment Time,Fire Reporting Agency Unit ID,State,State FIPS,County,County FIPS,District,Latitude,Longitude,Statistical Cause Code,Ownership Code,Residences Threatened,Residences Destroyed,Other Structures Threatened,Other Structures Destroyed,Number Injuries,Number Fatalities,Final Fire Acre Quantity
ACC369620.5,3/12/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,5,,2,0,0,0,,,0.5
ACC370182,5/7/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,5,,0,0,0,0,,,2
ACC370183,5/7/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,2,,0,0,0,0,,,3
ACC370194,5/8/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,2,,4,0,2,0,,,4
ACC370252.5,5/14/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,5,,0,0,0,0,,,2.5
ACC3702723.5,5/16/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,1,,4,0,4,0,,,23.5
ACC370850.6,7/13/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,9,,1,0,1,0,,,0.6
ACC370880.2,7/16/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,5,,0,0,0,0,,,0.2
ACC370881,7/16/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,1
ACC371960.1,11/1/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,6,,0,0,0,0,,,0.1
ACC3719620,11/1/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,3,,3,0,2,0,,,20
ACC372020.3,11/7/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,1,0,0,0,,,0.3
ACC372042,11/9/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,9,,0,0,0,0,,,2
ACC372042.5,11/9/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,1,0,1,0,,,2.5
ACC372111,11/16/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,1
ACC372115,11/16/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,5
ACC372143,11/19/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,3
ACC372150.1,11/20/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,0.1
ACC372220.3,11/27/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,2,,1,0,1,0,,,0.3
ACC372230.1,11/28/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,8,,0,0,0,0,,,0.1
ACC372422,12/17/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,2
ACC372443,12/19/2001 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,3,,0,0,0,0,,,3
ACC373020.6,2/15/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,5,,0,0,1,0,,,0.6
ACC373223,3/7/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,1,0,1,0,,,3
ACC373292,3/14/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,2,,0,0,0,0,,,2
ACC373334,3/18/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,4
ACC373338,3/18/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,2,0,2,0,,,8
ACC373854,5/9/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,1,0,0,0,,,4
ACC374041,5/28/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,1
ACC374122,6/5/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,1,,1,0,0,0,,,2
ACC374478,7/10/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,5,,0,0,0,0,,,8
ACC374520.2,7/15/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,8,,0,0,0,0,,,0.2
ACC374603.6,7/23/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,3.6
ACC374630.5,7/26/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,1,0,0,0,,,0.5
ACC37463190,7/26/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,1,,2,0,1,0,,,190
ACC374690.5,8/1/2002 0:00,,,,VAVDOF,VA,51,Accomack,1,,,,7,,0,0,0,0,,,0.5
