State,Abrv,Year,Arson,Campfire,Children,Debris Burning,Equipment Use,Fireworks,Lightning,Miscellaneous,Powerline,Railroad,Smoking,Structure,Unassigned,Total
Alaska,AK,2010,,123275.2,174269.1,109774.4,19355.6,,820884.1,149976.6,3656.1,,0.3,24815.3,,1426006.7
Alaska,AK,2011,0.4,126.3,7.2,28.2,8.3,3.2,267782.8,24996.5,2.6,0.1,0.8,59.7,,293016.1
Alaska,AK,2012,,183.3,4,2696.5,81.3,,252705.1,30871.4,1.7,0.5,0.2,1.2,1,286546.2
Alaska,AK,2013,,,,,,,,,,,,,1320752.7,1320752.7
Alabama,AL,2010,12297.11,472.35,70.68,7421.65,1385.58,101.8,346.15,12634.01,362.78,276.75,167.15,129.62,,35665.63
Alabama,AL,2012,8627,311,80,,679,56.5,3211.5,14470,870.5,,26,76,,28407.5
Alabama,AL,2013,10533.53,217.22,58.35,,703.98,47,290.26,15779.89,423.85,,92.8,62.05,,28208.93
Alabama,AL,2011,18367.1,1934.65,105.4,10488.35,2796.6,479.6,5028,25232.67,463.2,572.95,185.4,154.15,,65808.07
Arkansas,AR,2011,14136.7,97.1,108,8139.1,2798,,5009.5,5890.1,,304,493,,,36975.5
Arkansas,AR,2010,,,,,,,,,,,,,35380.6,35380.6
Arkansas,AR,2012,10874.5,143,330,7556.5,3666.5,,5617.5,6100.5,,50,402.5,,,34741
Arkansas,AR,2013,,,,,,,,,,,,,13806,13806
Arizona,AZ,2010,0.95,282.95,2,9650.35,88.25,,151.34,419.2,1.2,0.18,1.5,,,10597.92
Arizona,AZ,2012,43.33,0.4,6.3,1527.2,24.7,,3287.4,3913.71,,29,1.5,,,8833.54
Arizona,AZ,2011,2.5,2.5,,61.63,89.6,,27.3,4999.82,,,2.4,,494.32,5680.07
Arizona,AZ,2013,,,28.75,55.68,6.8,,18856.35,9152.78,,,78.41,,,28178.77
California,CA,2011,16409.2,153.1,703.45,1677.92,15928.33,,2153.81,9525.01,992.69,1.1,161.79,,161933.83,209640.23
California,CA,2010,1385.02,94.27,5101.38,1875.6,8743.61,,1821.17,10331.16,723.64,18.77,422.63,,22781.82,53299.07
California,CA,2012,1041.23,9.82,187.86,1365.46,6944.89,,42570.69,10138.44,506.78,1,375.21,,42072.9,105214.28
California,CA,2013,894.98,9.33,385.24,1960.99,3014.19,,619.82,30879.86,28.31,1,907.01,,58972.69,97673.42
Colorado,CO,2010,1203,133,6.6,206.9,0.7,236.2,7044.3,66149.31,0.2,2,42,,304,75328.21
Colorado,CO,2012,1984.2,541.68,65.521,376.38,4344,3.4,124754.151,14100.82,,,49.975,,253.6,146473.727
Colorado,CO,2013,47.3,277.15,1.65,216.15,1577.4,187.88,2960.67,37570.3,0.1,0.3,239.05,0.1,0.2,43078.25
Colorado,CO,2011,,,,,,,,,,,,,1030614.665,1030614.665
Connecticut,CT,2012,2.3,18.95,26,10.35,1,,,405.8,,1.5,2.5,,50,518.4
Connecticut,CT,2010,19.35,156.25,4.45,32.45,17.6,,,225.23,,0.5,11.65,,6.1,473.58
Connecticut,CT,2011,0.5,76.9,1,7.4,9.1,,,167.55,,,0.23,,1.4,264.08
Delware,DE,2011,,0.5,,15.75,150,,16.25,4.5,0.0625,,0.75,,,187.8125
Delware,DE,2010,,,3,28,10.25,,,6.75,,3,3.252,,,54.252
Delware,DE,2012,,0.5,7,4.5,7.1,2,7,2.75,,0.25,8.75,,,39.85
Delware,DE,2013,,0.1,,4.5,14,,,1,,,0.75,,,20.35
Folrida,FL,2010,7313.8,679.5,652.4,8039.4,6545.6,71.2,6897,36083.8,1231.5,130.7,119.2,70.9,,67835
Folrida,FL,2012,9228.4,727.1,200.4,10081.9,14547,26.3,33699.9,8251.1,548,113.3,199.9,58.8,,77682.1
Folrida,FL,2013,7471.3,391.7,306.6,7760,1719.9,94.8,14661.2,5976.1,482.2,13.7,43.2,90,,39010.7
Folrida,FL,2011,9846.3,858.8,1013.9,15935.4,75808.2,222.1,95670.9,31539.9,1713.4,236.5,851.9,91.4,,233788.7
Georgia,GA,2010,7100.3,768.24,318.39,11895.8,,,1972.49,980.9,,168.13,282.15,,,23486.4
Georgia,GA,2011,25282.72,915.48,822.96,77526.69,,,15266.56,28250.8,,240.64,395.78,,,148701.63
Georgia,GA,2012,5762.86,611.21,311.09,12271.58,,,4247.15,1301.23,,211.28,154.35,,,24870.75
Georgia,GA,2013,2012.89,477.48,201.3,11341.35,,,380.16,,,93.15,79.49,,,14585.82
Hawaii,HI,2011,,,,,,,338,75,,1153,,,,1566
Hawaii,HI,2010,,,,1493,1,,,7335,,700,,,,9529
Hawaii,HI,2012,,20,,,220,,,5597,,,,,,5837
Hawaii,HI,2013,,,,694,,,,19,,,,,,713
Iowa,IA,2012,86,73,14.51,3784.115,442.945,,3.5,971.916,,118.6,451.3,0.5,3.5,5949.886
Iowa,IA,2013,2.5,2.1,1.5,2063.11,57.75,,0.03,131.47,0.5,1,21.11,,,2281.07
